City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,70.29,77,12,6.58,PN,1689302261
1,roussillon,45.373,4.8073,61.05,65,57,3.65,FR,1689302261
2,aykhal,66.0,111.5,47.97,39,54,14.97,RU,1689302261
3,papatowai,-46.5619,169.4708,50.16,79,81,16.49,NZ,1689302262
4,yellowknife,62.456,-114.3525,73.92,33,75,13.8,CA,1689302111
5,ushuaia,-54.8,-68.3,29.95,95,54,5.91,AR,1689302046
6,happy valley-goose bay,53.3168,-60.3315,71.91,64,75,2.3,CA,1689302262
7,kuanda,56.3161,116.0806,69.73,36,0,1.88,RU,1689302262
8,el calafate,-50.3408,-72.2768,26.47,79,11,1.72,AR,1689302262
9,waitangi,-43.9535,-176.5597,49.82,82,100,13.0,NZ,1689302262
10,pontianak,-0.0333,109.3333,84.18,74,20,11.5,ID,1689302263
11,nichinan,31.6,131.3667,87.48,70,99,12.06,JP,1689302263
12,albany,42.6001,-73.9662,68.41,94,67,4.47,US,1689302263
13,ilulissat,69.2167,-51.1,50.02,87,75,3.44,GL,1689302263
14,port-aux-francais,-49.35,70.2167,37.0,62,41,35.39,TF,1689302263
15,grytviken,-54.2811,-36.5092,25.09,72,3,5.08,GS,1689302263
16,nabire,-3.3667,135.4833,83.59,73,70,3.74,ID,1689302264
17,lebu,-37.6167,-73.65,44.69,78,93,2.17,CL,1689302264
18,vila franca do campo,37.7167,-25.4333,68.41,91,28,5.21,PT,1689302264
19,gowurdak,37.8124,66.0466,91.96,16,0,18.57,TM,1689302264
20,ust-nera,64.5667,143.2,82.2,37,50,5.7,RU,1689302264
21,hasaki,35.7333,140.8333,81.28,77,100,2.71,JP,1689302264
22,jamestown,42.097,-79.2353,64.04,94,0,5.75,US,1689302264
23,thompson,55.7435,-97.8558,55.56,94,100,11.5,CA,1689302264
24,papao,-17.75,-149.55,82.08,70,18,16.73,PF,1689302265
25,aioun,16.6614,-9.6149,92.19,36,7,18.7,MR,1689302265
26,les avirons,-21.2418,55.3394,66.38,100,75,6.91,RE,1689301972
27,kingston,17.997,-76.7936,85.15,77,20,14.97,JM,1689302266
28,mili,6.0815,171.735,83.43,74,23,14.81,MH,1689302267
29,vorgashor,67.5833,63.95,53.91,51,5,0.27,RU,1689302267
30,longyearbyen,78.2186,15.6401,51.64,50,0,13.8,SJ,1689302135
31,bethel,41.3712,-73.414,79.65,82,3,6.33,US,1689302267
32,port elizabeth,-33.918,25.5701,50.29,93,20,4.61,ZA,1689302267
33,port mathurin,-19.6833,63.4167,75.02,79,95,16.71,MU,1689302267
34,wailua homesteads,22.0669,-159.378,84.99,75,20,12.66,US,1689302267
35,mil'kovo,55.6078,37.7956,57.69,93,100,7.23,RU,1689302267
36,sittwe,20.15,92.9,79.02,89,100,10.78,MM,1689302268
37,bam,29.106,58.357,87.1,19,0,21.77,IR,1689302268
38,anadyr,64.75,177.4833,50.5,93,100,8.01,RU,1689302268
39,yokadouma,3.5167,15.05,69.42,98,100,1.01,CM,1689302268
40,edinburgh of the seven seas,-37.0676,-12.3116,55.6,67,38,19.71,SH,1689302268
41,port lincoln,-34.7333,135.8667,61.25,59,24,15.08,AU,1689302268
42,college,64.8569,-147.8028,72.59,45,75,6.91,US,1689302268
43,road town,18.4167,-64.6167,82.49,78,20,9.22,VG,1689302045
44,tucuma,-0.1833,-50.05,76.05,93,94,5.86,BR,1689302269
45,hawaiian paradise park,19.5933,-154.9731,81.91,68,40,10.36,US,1689302269
46,utrik,11.2278,169.8474,83.28,75,27,18.84,MH,1689302269
47,west island,-12.1568,96.8225,78.78,83,40,17.27,CC,1689302269
48,rajsamand,25.0667,73.8833,80.11,74,77,7.63,IN,1689302116
49,ambovombe,-25.1667,46.0833,62.6,72,37,9.35,MG,1689302269
50,homer,59.6425,-151.5483,66.07,69,0,14.97,US,1689302269
51,hermanus,-34.4187,19.2345,57.6,56,68,8.5,ZA,1689302270
52,gizo,-8.103,156.8419,80.6,84,36,15.79,SB,1689302270
53,st. john's,47.5649,-52.7093,61.99,88,100,5.75,CA,1689302032
54,malabar,-33.9667,151.25,73.71,38,0,8.05,AU,1689302270
55,bredasdorp,-34.5322,20.0403,49.87,68,22,5.53,ZA,1689302270
56,port augusta,-32.5,137.7667,62.73,37,34,16.67,AU,1689302270
57,constantia,44.1833,28.65,79.7,74,0,8.37,RO,1689302270
58,tartu,58.3806,26.7251,57.33,82,40,5.75,EE,1689302270
